俊;jun4|zun4
一模一样;yi1 mu2 yi1 yang4
一样;yi1 yang4
一次;yi1 ci4
一次又一次;yi1 ci4 you4 yi1 ci4
一次性;yi1 ci4 xing4
一次方程;yi1 ci4 fang1 cheng2
一次方程式;yi1 ci4 fang1 cheng2 shi4
一次总付;yi1 ci4 zong3 fu4
一步一个脚印;yi1 bu4 yi1 ge4 jiao3 yin4
一步一趋;yi1 bu4 yi1 qu1
一步到位;yi1 bu4 dao4 wei4
一步登天;yi1 bu4 deng1 tian1
一步裙;yi1 bu4 qun2
一毛不拔;yi1 mao2 bu4 ba2
一气;yi1 qi4
一气之下;yi1 qi4 zhi1 xia4
一气呵成;yi1 qi4 he1 cheng2
一氧化碳;yi1 yang3 hua4 tan4
一水儿;yi1 shui3 r
一决雌雄;yi1 jue2 ci2 xiong2
一波三折;yi1 bo1 san1 zhe2
一派胡言;yi1 pai4 hu2 yan2
一派谎言;yi1 pai4 huang3 yan2
一流;yi1 liu2
一清二楚;yi1 qing1 er4 chu3
一清二白;yi1 qing1 er4 bai2
一清如水;yi1 qing1 ru2 shui3
一清早;yi1 qing1 zao3
一溜烟;yi1 liu4 yan1
一炮打响;yi1 pao4 da3 xiang3
一炮而红;yi1 pao4 er2 hong2
一无所动;yi1 wu2 suo3 dong4
一无所有;yi1 wu2 suo3 you3
一无所获;yi1 wu2 suo3 huo4
一无所知;yi1 wu2 suo3 zhi1
一无所闻;yi1 wu2 suo3 wen2
一无所长;yi1 wu2 suo3 chang2
一无是处;yi1 wu2 shi4 chu4
一物降一物;yi1 wu4 xiang2 yi1 wu4
一犯再犯;yi1 fan4 zai4 fan4
一生;yi1 sheng1
一生一世;yi1 sheng1 yi1 shi4
一甲;yi1 jia3
一甲子;yi1 jia3 zi3
一病不起;yi1 bing4 bu4 qi3
一瘸一拐;yi1 que2 yi1 guai3
一发不可收拾;yi1 fa1 bu4 ke3 shou1 shi
一发而不可收;yi1 fa1 er2 bu4 ke3 shou1
一百一;yi1 bai3 yi1
一盘散沙;yi1 pan2 san3 sha1
一目了然;yi1 mu4 liao3 ran2
一目十行;yi1 mu4 shi2 hang2
一直;yi1 zhi2
一直以来;yi1 zhi2 yi3 lai2
一直往前;yi1 zhi2 wang3 qian2
一相情愿;yi1 xiang1 qing2 yuan4
一眨眼;yi1 zha3 yan3
一眼;yi1 yan3
一眼望去;yi1 yan3 wang4 qu4
一眼看穿;yi1 yan3 kan4 chuan1
一睹;yi1 du3
一瞬;yi1 shun4
一瞬间;yi1 shun4 jian1
一知半解;yi1 zhi1 ban4 jie3
一石二鸟;yi1 shi2 er4 niao3
一碗水端平;yi1 wan3 shui3 duan1 ping2
一神教;yi1 shen2 jiao4
一神论;yi1 shen2 lun4
一秘;yi1 mi4
一种;yi1 zhong3
一空;yi1 kong1
一窝蜂;yi1 wo1 feng1
一穷二白;yi1 qiong2 er4 bai2
一窍不通;yi1 qiao4 bu4 tong1
一站式;yi1 zhan4 shi4
一笑了之;yi1 xiao4 liao3 zhi1
一笑置之;yi1 xiao4 zhi4 zhi1
一笔不苟;yi1 bi3 bu4 gou3
一笔勾销;yi1 bi3 gou1 xiao1
一笔带过;yi1 bi3 dai4 guo4
一笔抹杀;yi1 bi3 mo3 sha1
一等;yi1 deng3
一等奖;yi1 deng3 jiang3
一箭之仇;yi1 jian4 zhi1 chou2
一箭双雕;yi1 jian4 shuang1 diao1
一节诗;yi1 jie2 shi1
一筹莫展;yi1 chou2 mo4 zhan3
一系列;yi1 xi4 lie4
一纸空文;yi1 zhi3 kong1 wen2
一级;yi1 ji2
一级士官;yi1 ji2 shi4 guan1
一级方程式;yi1 ji2 fang1 cheng2 shi4
一级棒;yi1 ji2 bang4
一级头;yi1 ji2 tou2
一统;yi1 tong3
一丝一毫;yi1 si1 yi1 hao2
一丝不挂;yi1 si1 bu4 gua4
一丝不苟;yi1 si1 bu4 gou3
一经;yi1 jing1
一维;yi1 wei2
一网打尽;yi1 wang3 da3 jin4
一线;yi1 xian4
一线之间;yi1 xian4 zhi1 jian1
一线之隔;yi1 xian4 zhi1 ge2
一线希望;yi1 xian4 xi1 wang4
一线微光;yi1 xian4 wei1 guang1
一总;yi1 zong3
一声;yi1 sheng1
一声不响;yi1 sheng1 bu4 xiang3
一肚子;yi1 du4 zi
一肚皮;yi1 du4 pi2
一股子;yi1 gu3 zi
一股清流;yi1 gu3 qing1 liu2
一股脑;yi1 gu3 nao3
一股脑儿;yi1 gu3 nao3 r
一胎制;yi1 tai1 zhi4
一胎化;yi1 tai1 hua4
一脉相承;yi1 mai4 xiang1 cheng2
一腔;yi1 qiang1
一脸茫然;yi1 lian3 mang2 ran2
一致;yi1 zhi4
一致字;yi1 zhi4 zi4
一致性;yi1 zhi4 xing4
一致性效应;yi1 zhi4 xing4 xiao4 ying4
一致资源定址器;yi1 zhi4 zi1 yuan2 ding4 zhi3 qi4
一举;yi1 ju3
一举一动;yi1 ju3 yi1 dong4
一举两得;yi1 ju3 liang3 de2
一举成功;yi1 ju3 cheng2 gong1
一举手一投足;yi1 ju3 shou3 yi1 tou2 zu2
一般;yi1 ban1
一般人;yi1 ban1 ren2
一般来说;yi1 ban1 lai2 shuo1
一般来讲;yi1 ban1 lai2 jiang3
一般原则;yi1 ban1 yuan2 ze2
一般性;yi1 ban1 xing4
一般而言;yi1 ban1 er2 yan2
一般般;yi1 ban1 ban1
一般见识;yi1 ban1 jian4 shi
一般规定;yi1 ban1 gui1 ding4
一般说来;yi1 ban1 shuo1 lai2
一般贸易;yi1 ban1 mao4 yi4
一落千丈;yi1 luo4 qian1 zhang4
一叶知秋;yi1 ye4 zhi1 qiu1
一叶障目;yi1 ye4 zhang4 mu4
一号;yi1 hao4
一号木杆;yi1 hao4 mu4 gan1
一号电池;yi1 hao4 dian4 chi2
一行;yi1 xing2
一衣带水;yi1 yi1 dai4 shui3
一见倾心;yi1 jian4 qing1 xin1
一见如故;yi1 jian4 ru2 gu4
一见钟情;yi1 jian4 zhong1 qing2
一见高低;yi1 jian4 gao1 di1
一视同仁;yi1 shi4 tong2 ren2
一觉醒来;yi1 jiao4 xing3 lai2
一览;yi1 lan3
一览无遗;yi1 lan3 wu2 yi2
一览无余;yi1 lan3 wu2 yu2
一览众山小;yi1 lan3 zhong4 shan1 xiao3
一角银币;yi1 jiao3 yin2 bi4
一触即溃;yi1 chu4 ji2 kui4
一触即发;yi1 chu4 ji2 fa1
一言;yi1 yan2
一言一动;yi1 yan2 yi1 dong4
一言一行;yi1 yan2 yi1 xing2
一言不合;yi1 yan2 bu4 he2
一言不发;yi1 yan2 bu4 fa1
一言以蔽之;yi1 yan2 yi3 bi4 zhi1
一言千金;yi1 yan2 qian1 jin1
一言堂;yi1 yan2 tang2
一言抄百总;yi1 yan2 chao1 bai3 zong3
一言为定;yi1 yan2 wei2 ding4
一言为重;yi1 yan2 wei2 zhong4
一言难尽;yi1 yan2 nan2 jin4
一语不发;yi1 yu3 bu4 fa1
一语中的;yi1 yu3 zhong4 di4
一语破的;yi1 yu3 po4 di4
一语道破;yi1 yu3 dao4 po4
一语双关;yi1 yu3 shuang1 guan1
一说;yi1 shuo1
一诺千金;yi1 nuo4 qian1 jin1
一贫如洗;yi1 pin2 ru2 xi3
一贯;yi1 guan4
一走了之;yi1 zou3 liao3 zhi1
一起;yi1 qi3
一路;yi1 lu4
一路上;yi1 lu4 shang4
一路来;yi1 lu4 lai2
一路平安;yi1 lu4 ping2 an1
一路货;yi1 lu4 huo4
一路货色;yi1 lu4 huo4 se4
一路顺风;yi1 lu4 shun4 feng1
一路风尘;yi1 lu4 feng1 chen2
一跃而起;yi1 yue4 er2 qi3
一身;yi1 shen1
一身两役;yi1 shen1 liang3 yi4
一身是胆;yi1 shen1 shi4 dan3
一身汗;yi1 shen1 han4
一较高下;yi1 jiao4 gao1 xia4
一辈子;yi1 bei4 zi
一轮;yi1 lun2
一转眼;yi1 zhuan3 yan3
一辞莫赞;yi1 ci2 mo4 zan4
一退六二五;yi1 tui4 liu4 er4 wu3
一通百通;yi1 tong1 bai3 tong1
一连;yi1 lian2
一连串;yi1 lian2 chuan4
一遍;yi1 bian4
一遍又一遍;yi1 bian4 you4 yi1 bian4
一过性;yi1 guo4 xing4
一道;yi1 dao4
一递一个;yi1 di4 yi1 ge4
一递一声;yi1 di4 yi1 sheng1
一边;yi1 bian1
一边倒;yi1 bian1 dao3
一部分;yi1 bu4 fen
一醉方休;yi1 zui4 fang1 xiu1
一针见血;yi1 zhen1 jian4 xie3
一锤子买卖;yi1 chui2 zi mai3 mai4
一锤定音;yi1 chui2 ding4 yin1
一钱不值;yi1 qian2 bu4 zhi2
一钱如命;yi1 qian2 ru2 ming4
一错再错;yi1 cuo4 zai4 cuo4
一锅端;yi1 guo1 duan1
一锅粥;yi1 guo1 zhou1
一长一短;yi1 chang2 yi1 duan3
一门式;yi1 men2 shi4
一门心思;yi1 men2 xin1 si
一闪念;yi1 shan3 nian4
一闪而过;yi1 shan3 er2 guo4
一阵;yi1 zhen4
一阵子;yi1 zhen4 zi
一雨成秋;yi1 yu3 cheng2 qiu1
一雪前耻;yi1 xue3 qian2 chi3
一灵真性;yi1 ling2 zhen1 xing4
一面;yi1 mian4
一面之交;yi1 mian4 zhi1 jiao1
一面之词;yi1 mian4 zhi1 ci2
一面倒;yi1 mian4 dao3
一项一项地;yi1 xiang4 yi1 xiang4 de
一头;yi1 tou2
一头栽进;yi1 tou2 zai1 jin4
一头热;yi1 tou2 re4
一头雾水;yi1 tou2 wu4 shui3
一类;yi1 lei4
一类保护动物;yi1 lei4 bao3 hu4 dong4 wu4
一饮而尽;yi1 yin3 er2 jin4
一饱眼福;yi1 bao3 yan3 fu2
一马勺坏一锅;yi1 ma3 shao2 huai4 yi1 guo1
一马平川;yi1 ma3 ping2 chuan1
一马当先;yi1 ma3 dang1 xian1
一骑绝尘;yi1 qi2 jue2 chen2
一骨碌;yi1 gu1 lu
一体;yi1 ti3
一体两面;yi1 ti3 liang3 mian4
一体化;yi1 ti3 hua4
一鸣惊人;yi1 ming2 jing1 ren2
一黑早;yi1 hei1 zao3
一点;yi1 dian3
一点一滴;yi1 dian3 yi1 di1
一点一点;yi1 dian3 yi1 dian3
一点不;yi1 dian3 bu4
一点儿;yi1 dian3 r
一点就通;yi1 dian3 jiu4 tong1
一点水一个泡;yi1 dian3 shui3 yi1 ge4 pao4
一点邻域;yi1 dian3 lin2 yu4
一点点;yi1 dian3 dian3
一党;yi1 dang3
一党专制;yi1 dang3 zhuan1 zhi4
一鼓作气;yi1 gu3 zuo4 qi4
一鼻孔出气;yi1 bi2 kong3 chu1 qi4
一齐;yi1 qi2
丁;ding1
丁丁;ding1 ding1|zheng1 zheng1
丁丁炒面;ding1 ding1 chao3 mian4
丁丑;ding1 chou3
丁克;ding1 ke4
丁冬;ding1 dong1
丁加奴;ding1 jia1 nu2
丁基;ding1 ji1
丁夫;ding1 fu1
丁字;ding1 zi4
丁字尺;ding1 zi4 chi3
丁字梁;ding1 zi4 liang2
丁字步;ding1 zi4 bu4
丁字街;ding1 zi4 jie1
丁字裤;ding1 zi4 ku4
丁客;ding1 ke4
丁宁;ding1 ning2
丁宠家庭;ding1 chong3 jia1 ting2
丁忧;ding1 you1
丁未;ding1 wei4
丁格犬;ding1 ge2 quan3
丁糖;ding1 tang2
丁艰;ding1 jian1
丁青;ding1 qing1
丁青县;ding1 qing1 xian4
丁香;ding1 xiang1
丁骨牛排;ding1 gu3 niu2 pai2
丁点;ding1 dian3
七;qi1
七七事变;qi1 qi1 shi4 bian4
七七八八;qi1 qi1 ba1 ba1
七上八下;qi1 shang4 ba1 xia4
七上八落;qi1 shang4 ba1 luo4
七事;qi1 shi4
七分之一;qi1 fen1 zhi1 yi1
七分熟;qi1 fen1 shu2
七十;qi1 shi2
七十七国集团;qi1 shi2 qi1 guo2 ji2 tuan2
七十年代;qi1 shi2 nian2 dai4
七和弦;qi1 he2 xian2
七喜;qi1 xi3
七嘴八张;qi1 zui3 ba1 zhang1
七嘴八舌;qi1 zui3 ba1 she2
七国集团;qi1 guo2 ji2 tuan2
七堵;qi1 du3
七堵区;qi1 du3 qu1
七夕;qi1 xi1
七夕节;qi1 xi1 jie2
七大姑八大姨;qi1 da4 gu1 ba1 da4 yi2
七大工业国集团;qi1 da4 gong1 ye4 guo2 ji2 tuan2
七孔;qi1 kong3
七层架构;qi1 ceng2 jia4 gou4
七巧板;qi1 qiao3 ban3
七带石斑鱼;qi1 dai4 shi2 ban1 yu2
七年之痒;qi1 nian2 zhi1 yang3
七弦琴;qi1 xian2 qin2
七彩;qi1 cai3
七律;qi1 lv4
七情;qi1 qing2
七手八脚;qi1 shou3 ba1 jiao3
七扭八歪;qi1 niu3 ba1 wai1
七折八扣;qi1 zhe2 ba1 kou4
七拼八凑;qi1 pin1 ba1 cou4
七政四余;qi1 zheng4 si4 yu2
七方;qi1 fang1
七日热;qi1 ri4 re4
七旬老人;qi1 xun2 lao3 ren2
七星;qi1 xing1
七星区;qi1 xing1 qu1
七月;qi1 yue4
七月份;qi1 yue4 fen4
七武士;qi1 wu3 shi4
七爷八爷;qi1 ye2 ba1 ye2
七碳糖;qi1 tan4 tang2
七窍;qi1 qiao4
七窍生烟;qi1 qiao4 sheng1 yan1
七美;qi1 mei3
七美乡;qi1 mei3 xiang1
七老八十;qi1 lao3 ba1 shi2
七声;qi1 sheng1
七声音阶;qi1 sheng1 yin1 jie1
七股;qi1 gu3
七叶树;qi1 ye4 shu4
七荤八素;qi1 hun1 ba1 su4
七号电池;qi1 hao4 dian4 chi2
七角形;qi1 jiao3 xing2
七言律诗;qi1 yan2 lv4 shi1
七边形;qi1 bian1 xing2
七里香;qi1 li3 xiang1
七零八碎;qi1 ling2 ba1 sui4
七零八落;qi1 ling2 ba1 luo4
七项全能;qi1 xiang4 quan2 neng2
七魄;qi1 po4
七龙珠;qi1 long2 zhu1
万;mo4|wan4
丈;zhang4
丈二金刚摸不着头脑;zhang4 er4 jin1 gang1 mo1 bu zhao2 tou2 nao3
丈人;zhang4 ren2
丈八蛇矛;zhang4 ba1 she2 mao2
丈夫;zhang4 fu
丈母;zhang4 mu3
丈母娘;zhang4 mu3 niang2
丈量;zhang4 liang2
三;san1
三七;san1 qi1
三七二十一;san1 qi1 er4 shi2 yi1
三七仔;san1 qi1 zi3
三七开;san1 qi1 kai1
三七开定论;san1 qi1 kai1 ding4 lun4
三三两两;san1 san1 liang3 liang3
三下五除二;san1 xia4 wu3 chu2 er4
三下两下;san1 xia4 liang3 xia4
三不;san1 bu4
三不五时;san1 bu4 wu3 shi2
三不朽;san1 bu4 xiu3
三不沾;san1 bu4 zhan1
三不知;san1 bu4 zhi1
三不管;san1 bu4 guan3
三世;san1 shi4
三中全会;san1 zhong1 quan2 hui4
三九天;san1 jiu3 tian1
三五;san1 wu3
三五成群;san1 wu3 cheng2 qun2
三井;san1 jing3
三亚;san1 ya4
三亚市;san1 ya4 shi4
三人成虎;san1 ren2 cheng2 hu3
三人行;san1 ren2 xing2
三仇;san1 chou2
三代;san1 dai4
三代同堂;san1 dai4 tong2 tang2
三令五申;san1 ling4 wu3 shen1
三件套式西装;san1 jian4 tao4 shi4 xi1 zhuang1
三伏;san1 fu2
三伏天;san1 fu2 tian1
三位一体;san1 wei4 yi1 ti3
三位博士;san1 wei4 bo2 shi4
三侠五义;san1 xia2 wu3 yi4
三个世界;san1 ge shi4 jie4
三个代表;san1 ge4 dai4 biao3
三个和尚没水吃;san1 ge4 he2 shang mei2 shui3 chi1
三个和尚没水喝;san1 ge4 he2 shang mei2 shui3 he1
