俊;jun4|zun4
一声不吭;yi1 sheng1 bu4 keng1
一致;yi1 zhi4
一举;yi1 ju3
一举一动;yi1 ju3 yi1 dong4
一举两得;yi1 ju3 liang3 de2
一般;yi1 ban1
一言一行;yi1 yan2 yi1 xing2
一言不发;yi1 yan2 bu4 fa1
一贯;yi1 guan4
一起;yi1 qi3
一辈子;yi1 bei4 zi
一连;yi1 lian2
一连串;yi1 lian2 chuan4
一边;yi1 bian1
一锅粥;yi1 guo1 zhou1
一长一短;yi1 chang2 yi1 duan3
一阵;yi1 zhen4
一面;yi1 mian4
一头;yi1 tou2
一体;yi1 ti3
一点儿;yi1 dian3 r
一鼓作气;yi1 gu3 zuo4 qi4
丁;ding1
七;qi1
七嘴八舌;qi1 zui3 ba1 she2
万;mo4|wan4
丈夫;zhang4 fu
三;san1
三番五次;san1 fan1 wu3 ci4
三维;san1 wei2
三角;san1 jiao3
上;shang3|shang4
上任;shang4 ren4
上午;shang4 wu3
上司;shang4 si
上报;shang4 bao4
上场;shang4 chang3
上岗;shang4 gang3
上方;shang4 fang1
上旬;shang4 xun2
上映;shang4 ying4
上期;shang4 qi1
上流;shang4 liu2
上游;shang4 you2
上火;shang4 huo3
上班;shang4 ban1
上当;shang4 dang4
上瘾;shang4 yin3
上空;shang4 kong1
上级;shang4 ji2
上网;shang4 wang3
上诉;shang4 su4
上调;shang4 tiao2
上述;shang4 shu4
上进;shang4 jin4
上限;shang4 xian4
上头;shang4 tou|shang4 tou2
下;xia4
下一代;xia4 yi1 dai4
下令;xia4 ling4
下功夫;xia4 gong1 fu
下午;xia4 wu3
下场;xia4 chang3|xia4 chang
下坠;xia4 zhui4
下属;xia4 shu3
下山;xia4 shan1
下岗;xia4 gang3
下意识;xia4 yi4 shi2
下手;xia4 shou3
下旬;xia4 xun2
下期;xia4 qi1
下棋;xia4 qi2
下决心;xia4 jue2 xin1
下海;xia4 hai3
下游;xia4 you2
下级;xia4 ji2
下台;xia4 tai2
下落;xia4 luo4
下调;xia4 diao4|xia4 tiao2
下跌;xia4 die1
下载;xia4 zai3
下乡;xia4 xiang1
下雨;xia4 yu3
不;bu4
不了了之;bu4 liao3 liao3 zhi1
不予;bu4 yu2
不亚于;bu4 ya4 yu2
不亦乐乎;bu4 yi4 le4 hu1
不以为然;bu4 yi3 wei2 ran2
不但;bu4 dan4
不假思索;bu4 jia3 si1 suo3
不仅;bu4 jin3
不像话;bu4 xiang4 hua4
不免;bu4 mian3
不准;bu4 zhun3
不可思议;bu4 ke3 si1 yi4
不可避免;bu4 ke3 bi4 mian3
不同寻常;bu4 tong2 xun2 chang2
不堪;bu4 kan1
不如;bu4 ru2
不妨;bu4 fang2
不安;bu4 an1
不定;bu4 ding4
不宜;bu4 yi2
不客气;bu4 ke4 qi
不容;bu4 rong2
不屑;bu4 xie4
不屑一顾;bu4 xie4 yi1 gu4
不已;bu4 yi3
不平;bu4 ping2
不得不;bu4 de2 bu4
不得了;bu4 de2 liao3
不得已;bu4 de2 yi3
不得而知;bu4 de2 er2 zhi1
不耻下问;bu4 chi3 xia4 wen4
不惜;bu4 xi1
不愧;bu4 kui4
不慎;bu4 shen4
不懈;bu4 xie4
不择手段;bu4 ze2 shou3 duan4
不敢当;bu4 gan3 dang1
不料;bu4 liao4
不断;bu4 duan4
不时;bu4 shi2
不景气;bu4 jing3 qi4
不服;bu4 fu2
不服气;bu4 fu2 qi4
不止;bu4 zhi3
不正之风;bu4 zheng4 zhi1 feng1
不为人知;bu4 wei2 ren2 zhi1
不然;bu4 ran2
不理;bu4 li3
不用说;bu4 yong4 shuo1
不由得;bu4 you2 de
不由自主;bu4 you2 zi4 zhu3
不相上下;bu4 xiang1 shang4 xia4
不知;bu4 zhi1
不知不觉;bu4 zhi1 bu4 jue2
不禁;bu4 jin1
不算;bu4 suan4
不管;bu4 guan3
不约而同;bu4 yue1 er2 tong2
不经意;bu4 jing1 yi4
不翼而飞;bu4 yi4 er2 fei1
不耐烦;bu4 nai4 fan2
不要紧;bu4 yao4 jin3
不见得;bu4 jian4 de
不解;bu4 jie3
不言而喻;bu4 yan2 er2 yu4
不起眼;bu4 qi3 yan3
不足;bu4 zu2
不辞而别;bu4 ci2 er2 bie2
不过;bu4 guo4
不适;bu4 shi4
不顾;bu4 gu4
丑;chou3
且;qie3
世代;shi4 dai4
世故;shi4 gu4|shi4 gu
世界;shi4 jie4
世界级;shi4 jie4 ji2
世纪;shi4 ji4
世袭;shi4 xi2
丘陵;qiu1 ling2
丙;bing3
丢;diu1
丢三落四;diu1 san1 la4 si4
丢人;diu1 ren2
丢失;diu1 shi1
丢掉;diu1 diao4
丢弃;diu1 qi4
丢脸;diu1 lian3
并且;bing4 qie3
并列;bing4 lie4
并行;bing4 xing2
并非;bing4 fei1
丫头;ya1 tou
中介;zhong1 jie4
中午;zhong1 wu3
中国;zhong1 guo2
中国画;zhong1 guo2 hua4
中型;zhong1 xing2
中央;zhong1 yang1
中庸;zhong1 yong1
中心;zhong1 xin1
中性;zhong1 xing4
中文;zhong1 wen2
中断;zhong1 duan4
中旬;zhong1 xun2
中止;zhong1 zhi3
中立;zhong1 li4
中途;zhong1 tu2
中间;zhong1 jian1
串;chuan4
串门;chuan4 men2
丸;wan2
主;zhu3
主人;zhu3 ren2
主人公;zhu3 ren2 gong1
主任;zhu3 ren4
主力;zhu3 li4
主动;zhu3 dong4
主妇;zhu3 fu4
主宰;zhu3 zai3
主导;zhu3 dao3
主席;zhu3 xi2
主张;zhu3 zhang1
主意;zhu3 yi
主持;zhu3 chi2
主权;zhu3 quan2
主流;zhu3 liu2
主演;zhu3 yan3
主管;zhu3 guan3
主编;zhu3 bian1
主义;zhu3 yi4
主要;zhu3 yao4
主观;zhu3 guan1
主办;zhu3 ban4
主页;zhu3 ye4
主题;zhu3 ti2
主题歌;zhu3 ti2 ge1
主食;zhu3 shi2
乃;nai3
乃至;nai3 zhi4
久;jiu3
久仰;jiu3 yang3
久违;jiu3 wei2
之;zhi1
之所以;zhi1 suo3 yi3
之际;zhi1 ji4
乒乓球;ping1 pang1 qiu2
乖;guai1
乖巧;guai1 qiao3
乘;cheng2|sheng4
乘人之危;cheng2 ren2 zhi1 wei1
乘坐;cheng2 zuo4
乙;yi3|zhe2
九;jiu3
乞丐;qi3 gai4
乞求;qi3 qiu2
乞讨;qi3 tao3
也;ye3
也就是说;ye3 jiu4 shi4 shuo1
也许;ye3 xu3
干;gan1|gan4
干旱;gan1 han4
干杯;gan1 bei1
干净;gan1 jing4
干燥;gan1 zao4
干脆;gan1 cui4
乱;luan4
乱七八糟;luan4 qi1 ba1 zao1
了;le|liao3|liao4
了不起;liao3 bu qi3
了却;liao3 que4
了结;liao3 jie2
了解;liao3 jie3
予以;yu3 yi3
事件;shi4 jian4
事先;shi4 xian1
事务;shi4 wu4
事务所;shi4 wu4 suo3
事宜;shi4 yi2
事实;shi4 shi2
事情;shi4 qing
事态;shi4 tai4
事故;shi4 gu4
事业;shi4 ye4
事物;shi4 wu4
事迹;shi4 ji4
事项;shi4 xiang4
二;er4
二手车;er4 shou3 che1
二氧化碳;er4 yang3 hua4 tan4
云;yun2
互信;hu4 xin4
互助;hu4 zhu4
互相;hu4 xiang1
互联网;hu4 lian2 wang3
互补;hu4 bu3
互访;hu4 fang3
五;wu3
五星级;wu3 xing1 ji2
五花八门;wu3 hua1 ba1 men2
井;jing3
些;xie1
亚洲;ya4 zhou1
亚军;ya4 jun1
亡羊补牢;wang2 yang2 bu3 lao2
交;jiao1
交付;jiao1 fu4
交代;jiao1 dai4
交叉;jiao1 cha1
交往;jiao1 wang3
交情;jiao1 qing
交接;jiao1 jie1
交换;jiao1 huan4
交易;jiao1 yi4
交替;jiao1 ti4
交流;jiao1 liu2
交涉;jiao1 she4
交界;jiao1 jie4
交纳;jiao1 na4
交谈;jiao1 tan2
交通;jiao1 tong1
交锋;jiao1 feng1
交际;jiao1 ji4
交集;jiao1 ji2
交响乐;jiao1 xiang3 yue4
交头接耳;jiao1 tou2 jie1 er3
亦;yi4
享;xiang3
享受;xiang3 shou4
享有;xiang3 you3
京剧;jing1 ju4
亭子;ting2 zi
亮;liang4
亮相;liang4 xiang4
亮丽;liang4 li4
亮点;liang4 dian3
夜;ye4
人;ren2
人事;ren2 shi4
人口;ren2 kou3
人品;ren2 pin3
人员;ren2 yuan2
人均;ren2 jun1
人士;ren2 shi4
人家;ren2 jia|ren2 jia1
人工;ren2 gong1
人工智能;ren2 gong1 zhi4 neng2
人性;ren2 xing4
人情;ren2 qing2
人手;ren2 shou3
人才;ren2 cai2
人文;ren2 wen2
人格;ren2 ge2
人次;ren2 ci4
人民币;ren2 min2 bi4
人气;ren2 qi4
人为;ren2 wei2
人物;ren2 wu4
人生;ren2 sheng1
人缘儿;ren2 yuan2 r
人行道;ren2 xing2 dao4
人质;ren2 zhi4
人身;ren2 shen1
人造;ren2 zao4
人道;ren2 dao4
人选;ren2 xuan3
人间;ren2 jian1
人类;ren2 lei4
人体;ren2 ti3
什么;shen2 me
仁慈;ren2 ci2
仇;qiu2|chou2
仇人;chou2 ren2
仇恨;chou2 hen4
今天;jin1 tian1
介入;jie4 ru4
介意;jie4 yi4
介于;jie4 yu2
介绍;jie4 shao4
仍然;reng2 ran2
仍旧;reng2 jiu4
从;cong2
仔细;zi3 xi4
他;ta1
他人;ta1 ren2
付款;fu4 kuan3
付费;fu4 fei4
仙女;xian1 nv3
仙鹤;xian1 he4
代价;dai4 jia4
代替;dai4 ti4
代理;dai4 li3
代理人;dai4 li3 ren2
代号;dai4 hao4
代表;dai4 biao3
代言人;dai4 yan2 ren2
以来;yi3 lai2
以便;yi3 bian4
以免;yi3 mian3
以前;yi3 qian2
以及;yi3 ji2
以往;yi3 wang3
以为;yi3 wei2
以至;yi3 zhi4
以至于;yi3 zhi4 yu2
以致;yi3 zhi4
以身作则;yi3 shen1 zuo4 ze2
仲裁;zhong4 cai2
件;jian4
任人宰割;ren4 ren2 zai3 ge1
任何;ren4 he2
任务;ren4 wu
任命;ren4 ming4
任性;ren4 xing4
任意;ren4 yi4
任期;ren4 qi1
任职;ren4 zhi2
任重道远;ren4 zhong4 dao4 yuan3
份;fen4
份额;fen4 e2
仿;fang3
仿佛;fang3 fu2
仿制;fang3 zhi4
企图;qi3 tu2
企业;qi3 ye4
伊斯兰教;yi1 si1 lan2 jiao4
休克;xiu1 ke4
休息;xiu1 xi
休想;xiu1 xiang3
休眠;xiu1 mian2
休闲;xiu1 xian2
休养;xiu1 yang3
伙伴;huo3 ban4
伙食;huo3 shi2
伯伯;bo2 bo
伯母;bo2 mu3
伯父;bo2 fu4
估算;gu1 suan4
估计;gu1 ji4
伴;ban4
伴侣;ban4 lv3
伴奏;ban4 zou4
伴随;ban4 sui2
伶俐;ling2 li4
伸;shen1
伸张;shen1 zhang1
伸手;shen1 shou3
伸缩;shen1 suo1
伺候;ci4 hou4
伺机;si4 ji1
似乎;si4 hu1
似是而非;si4 shi4 er2 fei1
似曾相识;si4 ceng2 xiang1 shi2
似的;shi4 de
但是;dan4 shi4
但愿;dan4 yuan4
布;bu4
布告;bu4 gao4
布局;bu4 ju2
布置;bu4 zhi4
位;wei4
位子;wei4 zi
位于;wei4 yu2
位置;wei4 zhi
低;di1
低下;di1 xia4
低估;di1 gu1
低价;di1 jia4
低碳;di1 tan4
低调;di1 diao4
低谷;di1 gu3
低迷;di1 mi2
住;zhu4
住址;zhu4 zhi3
住宅;zhu4 zhai2
住宿;zhu4 su4
住户;zhu4 hu4
住处;zhu4 chu4
佐料;zuo3 liao4
占;zhan4|zhan1
占据;zhan4 ju4
占用;zhan4 yong4
占线;zhan4 xian4
占领;zhan4 ling3
何必;he2 bi4
何时;he2 shi2
何况;he2 kuang4
何苦;he2 ku3
何处;he2 chu4
余;yu2
作品;zuo4 pin3
作客;zuo4 ke4
作家;zuo4 jia1
作对;zuo4 dui4
作废;zuo4 fei4
作弊;zuo4 bi4
作息;zuo4 xi1
作文;zuo4 wen2
作业;zuo4 ye4
作为;zuo4 wei2
作物;zuo4 wu4
作用;zuo4 yong4
作者;zuo4 zhe3
作风;zuo4 feng1
你;ni3
佩服;pei4 fu2
佳节;jia1 jie2
佳肴;jia1 yao2
并购;bing4 gou4
使;shi3
使劲儿;shi3 jin4 r
使命;shi3 ming4
使唤;shi3 huan
使用;shi3 yong4
使者;shi3 zhe3
侃侃而谈;kan3 kan3 er2 tan2
侃大山;kan3 da4 shan1
来;lai2
来不及;lai2 bu ji2
来回;lai2 hui2
来年;lai2 nian2
来得及;lai2 de ji2
来历;lai2 li4
来源;lai2 yuan2
来源于;lai2 yuan2 yu2
来临;lai2 lin2
来自;lai2 zi4
来访;lai2 fang3
来宾;lai2 bin1
来电;lai2 dian4
来龙去脉;lai2 long2 qu4 mai4
例外;li4 wai4
例如;li4 ru2
侍候;shi4 hou4
供;gong4|gong1
供不应求;gong1 bu4 ying4 qiu2
供奉;gong4 feng4
供暖;gong1 nuan3
供求;gong1 qiu2
供给;gong1 ji3
依;yi1
依依不舍;yi1 yi1 bu4 she3
依据;yi1 ju4
依然;yi1 ran2
依旧;yi1 jiu4
依托;yi1 tuo1
依赖;yi1 lai4
依靠;yi1 kao4
侮辱;wu3 ru3
侵占;qin1 zhan4
侵害;qin1 hai4
侵权;qin1 quan2
侵犯;qin1 fan4
侵略;qin1 lve4
局限;ju2 xian4
便;bian4|pian2
便利;bian4 li4
便利店;bian4 li4 dian4
便宜;bian4 yi2|pian2 yi
便捷;bian4 jie2
便于;bian4 yu2
便条;bian4 tiao2
便道;bian4 dao4
便饭;bian4 fan4
系;ji4|xi4
促使;cu4 shi3
促成;cu4 cheng2
促进;cu4 jin4
俄语;e2 yu3
俊俏;jun4 qiao4
俗;su2
俗话;su2 hua4
俗话说;su2 hua4 shuo1
俗语;su2 yu3
俘获;fu2 huo4
俘虏;fu2 lu3
保佑;bao3 you4
保修;bao3 xiu1
保姆;bao3 mu3
保存;bao3 cun2
保守;bao3 shou3
保密;bao3 mi4
保持;bao3 chi2
保暖;bao3 nuan3
保留;bao3 liu2
保管;bao3 guan3
保卫;bao3 wei4
保证;bao3 zheng4
保护;bao3 hu4
保质期;bao3 zhi4 qi1
保重;bao3 zhong4
保障;bao3 zhang4
保险;bao3 xian3
保养;bao3 yang3
保鲜;bao3 xian1
侠义;xia2 yi4
信仰;xin4 yang3
信件;xin4 jian4
信任;xin4 ren4
信封;xin4 feng1
信心;xin4 xin1
信念;xin4 nian4
信息;xin4 xi1
信用卡;xin4 yong4 ka3
信号;xin4 hao4
信誉;xin4 yu4
信贷;xin4 dai4
信赖;xin4 lai4
修建;xiu1 jian4
修复;xiu1 fu4
修改;xiu1 gai3
修正;xiu1 zheng4
修理;xiu1 li3
修补;xiu1 bu3
修订;xiu1 ding4
修路;xiu1 lu4
修长;xiu1 chang2
修养;xiu1 yang3
俯视;fu3 shi4
俯首;fu3 shou3
俱乐部;ju4 le4 bu4
俩;lia3|liang3
仓促;cang1 cu4
仓库;cang1 ku4
个;ge4|ge3
个人;ge4 ren2
个别;ge4 bie2
个子;ge4 zi
个性;ge4 xing4
个案;ge4 an4
个头儿;ge4 tou2 r
个体;ge4 ti3
倍;bei4
倒;dao3|dao4
倒下;dao3 xia4
倒塌;dao3 ta1
倒数;dao4 shu4|dao4 shu3
倒计时;dao4 ji4 shi2
倒卖;dao3 mai4
倒闭;dao3 bi4
倒霉;dao3 mei2
倔;jue2
倔强;jue2 jiang4
幸免;xing4 mian3
幸存;xing4 cun2
倘若;tang3 ruo4
候选;hou4 xuan3
候选人;hou4 xuan3 ren2
倚;yi3
借;jie4
借助;jie4 zhu4
借口;jie4 kou3
借条;jie4 tiao2
借用;jie4 yong4
借鉴;jie4 jian4
倡导;chang4 dao3
倡议;chang4 yi4
伦理;lun2 li3
值得;zhi2 de
值班;zhi2 ban1
值钱;zhi2 qian2
假;gei1|jia3|jia4
假使;jia3 shi3
假冒;jia3 mao4
假如;jia3 ru2
假定;jia3 ding4
假装;jia3 zhuang1
假设;jia3 she4
伟大;wei3 da4
偏偏;pian1 pian1
偏僻;pian1 pi4
偏向;pian1 xiang4
偏差;pian1 cha1
偏方;pian1 fang1
偏见;pian1 jian4
偏远;pian1 yuan3
做;zuo4
做主;zuo4 zhu3
做生意;zuo4 sheng1 yi4
停;ting2
停放;ting2 fang4
停业;ting2 ye4
停泊;ting2 bo2
停滞;ting2 zhi4
停车位;ting2 che1 wei4
停电;ting2 dian4
停顿;ting2 dun4
健全;jian4 quan2
健壮;jian4 zhuang4
健康;jian4 kang1
健美;jian4 mei3
健身;jian4 shen1
侧重;ce4 zhong4
侧面;ce4 mian4
侦察;zhen1 cha2
侦探;zhen1 tan4
偶像;ou3 xiang4
偶然;ou3 ran2
偶尔;ou3 er3
偷;tou1
偷懒;tou1 lan3
偷看;tou1 kan4
偷窥;tou1 kui1
伪装;wei3 zhuang1
伪造;wei3 zao4
傍晚;bang4 wan3
杰出;jie2 chu1
伞;san3
备份;bei4 fen4
备受;bei4 shou4
备忘录;bei4 wang4 lu4
备用;bei4 yong4
备课;bei4 ke4
效仿;xiao4 fang3
家;jia1
家伙;jia1 huo
催;cui1
催促;cui1 cu4
催眠;cui1 mian2
傲;ao4
傲慢;ao4 man4
传;chuan2|zhuan4
传人;chuan2 ren2
传单;chuan2 dan1
传奇;chuan2 qi2
传承;chuan2 cheng2
传授;chuan2 shou4
传播;chuan2 bo1
传染;chuan2 ran3
传染病;chuan2 ran3 bing4
传真;chuan2 zhen1
传统;chuan2 tong3
传闻;chuan2 wen2
传记;zhuan4 ji4
传说;chuan2 shuo1
传达;chuan2 da2
债券;zhai4 quan4
债务;zhai4 wu4
伤势;shang1 shi4
伤害;shang1 hai4
伤心;shang1 xin1
伤感;shang1 gan3
伤残;shang1 can2
伤痕;shang1 hen2
伤脑筋;shang1 nao3 jin1
傻;sha3
傻瓜;sha3 gua1
倾向;qing1 xiang4
倾家荡产;qing1 jia1 dang4 chan3
倾斜;qing1 xie2
倾听;qing1 ting1
倾诉;qing1 su4
倾销;qing1 xiao1
仅次于;jin3 ci4 yu2
像;xiang4
像样;xiang4 yang4
侥幸;jiao3 xing4
僧人;seng1 ren2
雇;gu4
僵;jiang1
僵化;jiang1 hua4
僵局;jiang1 ju2
僵硬;jiang1 ying4
价位;jia4 wei4
价值;jia4 zhi2
价值观;jia4 zhi2 guan1
价格;jia4 ge2
僻静;pi4 jing4
仪器;yi2 qi4
仪式;yi2 shi4
仪表;yi2 biao3
亿;yi4
儒学;ru2 xue2
儒家;ru2 jia1
拟;ni3
尽;jin3|jin4
尽快;jin3 kuai4|jin4 kuai4
尽早;jin3 zao3
尽管;jin3 guan3
尽量;jin4 liang4|jin3 liang4
偿还;chang2 huan2
优;you1
优先;you1 xian1
优胜劣汰;you1 sheng4 lie4 tai4
优势;you1 shi4
优化;you1 hua4
优惠;you1 hui4
优异;you1 yi4
优秀;you1 xiu4
优美;you1 mei3
优越;you1 yue4
优雅;you1 ya3
优点;you1 dian3
储备;chu3 bei4
储存;chu3 cun2
储蓄;chu3 xu4
允许;yun3 xu3
元;yuan2
元宵节;yuan2 xiao1 jie2
元旦;yuan2 dan4
元素;yuan2 su4
元老;yuan2 lao3
元首;yuan2 shou3
兄弟;xiong1 di4
充;chong1
充分;chong1 fen4
充实;chong1 shi2
充沛;chong1 pei4
充满;chong1 man3
充当;chong1 dang1
充足;chong1 zu2
充电器;chong1 dian4 qi4
兆头;zhao4 tou
凶恶;xiong1 e4
凶手;xiong1 shou3
凶残;xiong1 can2
凶狠;xiong1 hen3
凶猛;xiong1 meng3
先;xian1
先例;xian1 li4
先前;xian1 qian2
先天;xian1 tian1
先生;xian1 sheng
先进;xian1 jin4
光;guang1
光彩;guang1 cai3
光明;guang1 ming2
光明磊落;guang1 ming2 lei3 luo4
光荣;guang1 rong2
光滑;guang1 hua2
光泽;guang1 ze2
光环;guang1 huan2
光盘;guang1 pan2
光碟;guang1 die2
光缆;guang1 lan3
光临;guang1 lin2
光芒;guang1 mang2
光辉;guang1 hui1
光顾;guang1 gu4
克;ke4
克制;ke4 zhi4
克服;ke4 fu2
克隆;ke4 long2
兑换;dui4 huan4
兑现;dui4 xian4
免;wen4|mian3
免不了;mian3 bu4 liao3
免得;mian3 de
免疫;mian3 yi4
免职;mian3 zhi2
免费;mian3 fei4
免除;mian3 chu2
儿子;er2 zi
儿童;er2 tong2
兔子;tu4 zi
兜;dou1
兜儿;dou1 r
兜售;dou1 shou4
兢兢业业;jing1 jing1 ye4 ye4
入侵;ru4 qin1
入口;ru4 kou3
入场;ru4 chang3
入场券;ru4 chang3 quan4
入境;ru4 jing4
入手;ru4 shou3
入选;ru4 xuan3
内;nei4
内向;nei4 xiang4
内在;nei4 zai4
内存;nei4 cun2
内容;nei4 rong2
内幕;nei4 mu4
内涵;nei4 han2
内科;nei4 ke1
内行;nei4 hang2
内部;nei4 bu4
内阁;nei4 ge2
内需;nei4 xu1
全力以赴;quan2 li4 yi3 fu4
全局;quan2 ju2
全心全意;quan2 xin1 quan2 yi4
全文;quan2 wen2
全方位;quan2 fang1 wei4
全程;quan2 cheng2
全能;quan2 neng2
全部;quan2 bu4
全长;quan2 chang2
全面;quan2 mian4
两;liang3
两口子;liang3 kou3 zi
两栖;liang3 qi1
八;ba1
八卦;ba1 gua4
公主;gong1 zhu3
公事;gong1 shi4
公布;gong1 bu4
公仆;gong1 pu2
公元;gong1 yuan2
公共场所;gong1 gong4 chang3 suo3
公共汽车;gong1 gong4 qi4 che1
公函;gong1 han2
公务;gong1 wu4
公司;gong1 si1
公告;gong1 gao4
公园;gong1 yuan2
公墓;gong1 mu4
公安局;gong1 an1 ju2
公寓;gong1 yu4
公平;gong1 ping2
公式;gong1 shi4
公斤;gong1 jin1
公款;gong1 kuan3
公正;gong1 zheng4
公民;gong1 min2
公然;gong1 ran2
公用;gong1 yong4
公益;gong1 yi4
公示;gong1 shi4
公积金;gong1 ji1 jin1
公立;gong1 li4
公约;gong1 yue1
公职;gong1 zhi2
公认;gong1 ren4
公证;gong1 zheng4
公费;gong1 fei4
公车;gong1 che1
公道;gong1 dao|gong1 dao4
公里;gong1 li3
公开;gong1 kai1
公开信;gong1 kai1 xin4
公关;gong1 guan1
公顷;gong1 qing3
六;liu4
共同;gong4 tong2
共同体;gong4 tong2 ti3
共和国;gong4 he2 guo2
共性;gong4 xing4
共计;gong4 ji4
共识;gong4 shi2
共鸣;gong4 ming2
其中;qi2 zhong1
其他;qi2 ta1
其实;qi2 shi2
其后;qi2 hou4
其次;qi2 ci4
其间;qi2 jian1
其余;qi2 yu2
具备;ju4 bei4
具体;ju4 ti3
典型;dian3 xing2
典礼;dian3 li3
典范;dian3 fan4
兼;jian1
兼任;jian1 ren4
兼容;jian1 rong2
兼职;jian1 zhi2
兼顾;jian1 gu4
册;ce4
再;zai4
再三;zai4 san1
再度;zai4 du4
再接再厉;zai4 jie1 zai4 li4
再现;zai4 xian4
再见;zai4 jian4
冒充;mao4 chong1
冒昧;mao4 mei4
冒犯;mao4 fan4
冒险;mao4 xian3
冗长;rong3 chang2
冠军;guan4 jun1
冤;yuan1
冤枉;yuan1 wang
冬;dong1
冰山;bing1 shan1
冰棍儿;bing1 gun4 r
冰激凌;bing1 ji1 ling2
冰箱;bing1 xiang1
冰雹;bing1 bao2
冷;leng3
冷冻;leng3 dong4
冷却;leng3 que4
冷战;leng3 zhan4|leng3 zhan
冷淡;leng3 dan4
冷漠;leng3 mo4
冷笑;leng3 xiao4
冷落;leng3 luo4
冷酷;leng3 ku4
冷酷无情;leng3 ku4 wu2 qing2
冷门;leng3 men2
冷静;leng3 jing4
准许;zhun3 xu3
凌晨;ling2 chen2
冻;dong4
冻结;dong4 jie2
凝固;ning2 gu4
凝聚;ning2 ju4
凝视;ning2 shi4
几;ji1|ji3
凡;fan2
凡是;fan2 shi4
凯歌;kai3 ge1
凳子;deng4 zi
凭;ping2
凸;tu1
凸显;tu1 xian3
凹;wa1|ao1
凹凸;ao1 tu1
出;chu1
出主意;chu1 zhu3 yi
出人意料;chu1 ren2 yi4 liao4
出任;chu1 ren4
出具;chu1 ju4
出口;chu1 kou3
出口成章;chu1 kou3 cheng2 zhang1
出土;chu1 tu3
出境;chu1 jing4
出局;chu1 ju2
出山;chu1 shan1
出差;chu1 chai1
出席;chu1 xi2
出厂;chu1 chang3
出息;chu1 xi|chu1 xi1
出手;chu1 shou3
出毛病;chu1 mao2 bing4
出洋相;chu1 yang2 xiang4
出演;chu1 yan3
出版;chu1 ban3
出版社;chu1 ban3 she4
出现;chu1 xian4
出生;chu1 sheng1
出发;chu1 fa1
出发点;chu1 fa1 dian3
出众;chu1 zhong4
出示;chu1 shi4
出神;chu1 shen2
出租车;chu1 zu1 che1
出自;chu1 zi4
出色;chu1 se4
出血;chu1 xue4
出资;chu1 zi1
出卖;chu1 mai4
出走;chu1 zou3
出路;chu1 lu4
出身;chu1 shen1
出游;chu1 you2
出道;chu1 dao4
出丑;chu1 chou3
出难题;chu1 nan2 ti2
出头;chu1 tou2
出风头;chu1 feng1 tou
函授;han2 shou4
刀;dao1
刁难;diao1 nan4
分;fen1|fen4
分布;fen1 bu4
分别;fen1 bie2
分割;fen1 ge1
分化;fen1 hua4
分外;fen4 wai4
分寸;fen1 cun
分手;fen1 shou3
分担;fen1 dan1
分支;fen1 zhi1
分散;fen1 san4
分明;fen1 ming2
分析;fen1 xi1
分歧;fen1 qi2
分泌;fen1 mi4
分红;fen1 hong2
分裂;fen1 lie4
分解;fen1 jie3
分赃;fen1 zang1
分辨;fen1 bian4
分配;fen1 pei4
分量;fen1 liang4|fen4 liang
分钟;fen1 zhong1
切;qie1|qie4
切割;qie1 ge1
